Average,Current
116,232
116,232
116,232
116,232
116,231
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,231
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,231
116,232
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,232
116,231
116,231
116,231
116,231
116,232
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,231
116,232
116,231
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,232
116,231
116,232
116,232
116,232
116,232
116,232
116,231
116,232
116,232
116,231
116,232
116,231
231,231
231,232
231,232
231,231
231,232
231,232
231,231
231,232
231,232
231,231
231,231
231,231
231,232
231,232
231,231
231,231
231,231
231,231
231,232
231,231
231,231
231,231
231,232
231,232
231,232
231,231
231,232
231,231
231,231
231,232
231,231
231,232
231,232
231,231
231,231
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,231
231,231
231,232
231,231
231,232
231,231
231,232
231,231
231,231
231,232
231,231
231,231
231,231
231,232
231,231
231,231
231,232
231,231
231,231
231,232
231,231
231,232
231,232
231,232
231,232
231,232
231,231
231,231
231,232
231,232
231,231
231,232
231,231
231,231
231,232
231,231
231,232
231,231
231,232
231,232
231,232
231,231
231,231
231,232
231,231
231,231
231,231
231,232
231,231
231,232
231,231
231,231
231,232
231,231
231,232
231,231
231,232
231,232
231,231
231,232
231,232
231,231
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,231
231,231
231,232
231,231
231,231
231,231
231,232
231,231
231,231
231,231
231,232
231,231
231,232
231,231
231,231
231,231
231,232
231,232
231,231
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,232
231,231
231,232
231,232
231,232
231,232
231,232
231,231
231,232
231,232
231,232
231,232
231,232
231,232
231,231
231,231
231,232
231,232
231,232
231,232
231,232
231,231
231,232
231,232
231,232
231,232
231,232
231,232
231,231
231,232
232,232
232,231
232,231
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,231
232,231
232,232
232,231
232,231
232,232
232,232
232,231
232,231
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,231
232,232
232,232
232,231
232,231
232,231
232,232
232,232
232,232
232,231
232,232
232,231
232,232
232,232
232,232
232,232
232,231
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,235
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,238
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,237
232,238
232,238
232,238
232,238
232,238
232,238
232,238
232,236
232,236
232,235
232,242
232,236
232,252
232,242
232,244
232,240
232,238
232,237
232,238
232,238
232,237
232,238
232,238
232,237
232,237
232,237
232,237
232,238
232,239
232,230
232,231
232,231
232,231
232,231
232,232
232,233
232,233
232,234
232,234
232,234
232,233
232,233
232,233
232,232
232,232
232,233
232,233
232,233
232,233
232,233
232,233
232,233
232,233
232,233
232,233
232,233
232,233
232,233
232,233
232,232
232,232
232,232
232,232
232,233
232,232
232,233
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,233
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,232
232,258
232,253
232,257
232,257
232,257
232,257
232,257
232,257
232,258
232,257
232,258
232,257
232,257
232,257
232,257
232,257
232,257
232,257
232,257
232,257
232,257
232,257
232,259
232,259
232,258
232,257
232,257
232,257
232,256
232,257
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,256
232,255
232,255
232,255
244,255
255,255
255,255
255,255
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,253
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
255,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,253
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,253
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,253
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,254
254,255
254,255
254,255
254,255
254,255
254,255
254,255
254,255
254,255
254,255
254,255
254,255
254,255
254,255
254,256
254,256
254,256
254,256
254,256
254,255
254,255
254,256
254,256
254,255
254,255
254,255
254,255
254,255
254,256
254,256
